Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Sex_I,Sex_M,Rings
0.55,0.445,0.125,0.672,0.288,0.1365,0.21,True,False,11
0.475,0.355,0.1,0.5035,0.2535,0.091,0.14,True,False,8
0.305,0.225,0.07,0.1485,0.0585,0.0335,0.045,False,False,7
0.275,0.2,0.065,0.1165,0.0565,0.013,0.035,True,False,7
0.495,0.38,0.135,0.6295,0.263,0.1425,0.215,False,True,12
0.505,0.38,0.12,0.594,0.2595,0.1435,0.18,True,False,7
0.655,0.5,0.18,1.4155,0.508,0.314,0.445,False,False,18
0.485,0.39,0.125,0.591,0.287,0.141,0.12,True,False,9
0.53,0.43,0.16,0.7245,0.321,0.1275,0.24,True,False,9
0.41,0.3,0.1,0.282,0.1255,0.057,0.0875,True,False,7
0.59,0.455,0.16,1.09,0.5,0.2215,0.292,False,True,9
0.56,0.42,0.14,0.837,0.414,0.214,0.2,True,False,8
0.555,0.46,0.145,0.9005,0.3845,0.158,0.2765,True,False,11
0.415,0.31,0.105,0.3595,0.167,0.083,0.0915,True,False,6
0.38,0.285,0.09,0.2305,0.1005,0.039,0.0775,True,False,7
0.545,0.42,0.125,0.9745,0.353,0.174,0.305,False,True,13
0.6,0.475,0.23,1.157,0.522,0.2235,0.36,False,True,11
0.725,0.565,0.21,2.1425,1.03,0.487,0.503,False,False,14
0.485,0.345,0.16,0.869,0.3085,0.185,0.319,True,False,9
0.52,0.38,0.135,0.5825,0.2505,0.1565,0.175,False,True,8
0.435,0.335,0.105,0.3535,0.156,0.05,0.1135,True,False,7
0.625,0.495,0.175,1.254,0.5815,0.286,0.3185,False,True,9
0.605,0.46,0.17,1.122,0.347,0.3045,0.315,False,False,13
0.64,0.52,0.2,1.407,0.566,0.304,0.455,False,True,17
0.5,0.385,0.135,0.551,0.2245,0.0715,0.206,False,True,11
0.555,0.435,0.14,0.7495,0.341,0.1645,0.214,False,True,8
0.635,0.495,0.175,1.211,0.707,0.2725,0.323,False,False,9
0.44,0.31,0.115,0.3625,0.134,0.082,0.12,True,False,11
0.42,0.305,0.1,0.3415,0.1645,0.0775,0.086,True,False,7
0.575,0.46,0.165,0.9575,0.4815,0.1945,0.236,False,False,10
0.645,0.485,0.15,1.151,0.5935,0.2315,0.293,False,False,12
0.595,0.46,0.155,1.0455,0.4565,0.24,0.3085,False,False,10
0.52,0.4,0.12,0.6515,0.261,0.2015,0.165,False,False,15
0.61,0.475,0.175,1.024,0.409,0.261,0.322,False,True,9
0.56,0.435,0.135,0.72,0.329,0.103,0.251,True,False,11
0.52,0.4,0.105,0.872,0.4515,0.1615,0.1985,False,True,9
